상호,건물,카테고리,주소,전화번호,호수(전화로확인),혼밥가능(green=1인석있음/yellow=혼자눈치/red=1인거절),도보(분),최저가(원),최고가(원),12시웨이팅(0없음/5=5~10분/15=15분↑),12시반웨이팅(0/5/15),주문방식(kiosk/table_tablet/staff_call),셀프바(true/false),소음(1조용~2보통~3시끌),직원말수(1무관심~2보통~3많음),대표메뉴,메모
킹콩부대찌개송파,엠스테이트,국/탕/찌개류,서울특별시 송파구 법원로 114,02-6177-9279,,,,,,,,,,,,,
탄심,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,02-6177-9494,,,,,,,,,,,,,
하루엔소쿠,엠스테이트,일식 카레/돈가스/덮밥,서울특별시 송파구 법원로 114,02-2283-1339,,,,,,,,,,,,,
흥도식당,엠스테이트,일식 카레/돈가스/덮밥,서울특별시 송파구 법원로 114,070-8676-0341,,,,,,,,,,,,,
계림원문정,테라타워,피자,서울특별시 송파구 송파대로 167,0503-7153-3031,,,,,,,,,,,,,
고메무이,테라타워,일식 회/초밥,서울특별시 송파구 송파대로 167,02-443-7779,,,,,,,,,,,,,
고반식당,테라타워,백반/한정식,서울특별시 송파구 송파대로 167,0507-1382-8750,,,,,,,,,,,,,
광명횟집,테라타워,횟집,서울특별시 송파구 송파대로 167,02-2054-8648,,,,,,,,,,,,,
남산수재돈까스,테라타워,경양식,서울특별시 송파구 송파대로 167,02-2054-3750,,,,,,,,,,,,,
덮밥장사장,테라타워,일식 카레/돈가스/덮밥,서울특별시 송파구 송파대로 167,02-2054-3373,,,,,,,,,,,,,
데블스램&펍,테라타워,베트남식 전문,서울특별시 송파구 송파대로 167,02-2054-3405,,,,,,,,,,,,,
로바타하나비,테라타워,일식 회/초밥,서울특별시 송파구 송파대로 167,02-2054-3304,,,,,,,,,,,,,
마봉양꼬치,테라타워,중국집,서울특별시 송파구 송파대로 167,0507-1401-7640,,,,,,,,,,,,,
맘스터치문정역점,테라타워,버거,서울특별시 송파구 송파대로 167,02-448-1318,,,,,,,,,,,,,
무국적식당주철,테라타워,경양식,서울특별시 송파구 송파대로 167,0502-5553-4501,,,,,,,,,,,,,
미르네나주가,테라타워,백반/한정식,서울특별시 송파구 송파대로 167,02-409-9194,,,,,,,,,,,,,
바스버거문정역점,테라타워,버거,서울특별시 송파구 송파대로 167,02-2054-8998,,,,,,,,,,,,,
바오밥,테라타워,피자,서울특별시 송파구 송파대로 167,02-2054-3669,,,,,,,,,,,,,
본래순대문정테라,테라타워,국/탕/찌개류,서울특별시 송파구 송파대로 167,02-2054-8997,,,,,,,,,,,,,
산척동수제비문정,테라타워,국수/칼국수,서울특별시 송파구 송파대로 167,02-2054-3305,,,,,,,,,,,,,
수유리우동집문정역점,테라타워,일식 면 요리,서울특별시 송파구 송파대로 167,02-2054-3320,,,,,,,,,,,,,
스시현,테라타워,일식 회/초밥,서울특별시 송파구 송파대로 167,02-2054-3317,,,,,,,,,,,,,
신기소,테라타워,일식 회/초밥,서울특별시 송파구 송파대로 167,02-2054-3991,,,,,,,,,,,,,
아레나샤브테라,테라타워,백반/한정식,서울특별시 송파구 송파대로 167,02-430-1304,,,,,,,,,,,,,
아리솔,테라타워,백반/한정식,서울특별시 송파구 송파대로 167,02-2054-8757,,,,,,,,,,,,,
야키니쿠히오리,테라타워,일식 회/초밥,서울특별시 송파구 송파대로 167,010-3350-2836,,,,,,,,,,,,,
양산도,테라타워,일식 회/초밥,서울특별시 송파구 송파대로 167,02-2054-8692,,,,,,,,,,,,,
에그드랍문정역점,테라타워,토스트/샌드위치/샐러드,서울특별시 송파구 송파대로 167,02-2054-8262,,,,,,,,,,,,,
오부찌,테라타워,백반/한정식,서울특별시 송파구 송파대로 167,02-2054-8597,,,,,,,,,,,,,
올라포케,테라타워,피자,서울특별시 송파구 송파대로 167,02-2054-8530,,,,,,,,,,,,,
월미당,테라타워,베트남식 전문,서울특별시 송파구 송파대로 167,02-2054-3999,,,,,,,,,,,,,
이삭토스트서울문정역점,테라타워,토스트/샌드위치/샐러드,서울특별시 송파구 송파대로 167,02-2054-3634,,,,,,,,,,,,,
이태리부대찌개문정,테라타워,국/탕/찌개류,서울특별시 송파구 송파대로 167,0503-7151-9736,,,,,,,,,,,,,
이풀리문정역점,테라타워,김밥/만두/분식,서울특별시 송파구 송파대로 167,0503-7151-4297,,,,,,,,,,,,,
이화수전통육개장문정,테라타워,국/탕/찌개류,서울특별시 송파구 송파대로 167,02-2054-3338,,,,,,,,,,,,,
제주은희네해장국문정테라,테라타워,국/탕/찌개류,서울특별시 송파구 송파대로 167,02-2054-3331,,,,,,,,,,,,,
청년38국수,테라타워,국수/칼국수,서울특별시 송파구 송파대로 167,0507-1398-1584,,,,,,,,,,,,,
테라한식뷔페,테라타워,뷔페,서울특별시 송파구 송파대로 167,02-2054-3645,,,,,,,,,,,,,
통영항수산민족,테라타워,횟집,서울특별시 송파구 송파대로 167,02-2054-3892,,,,,,,,,,,,,
포온스,테라타워,피자,서울특별시 송파구 송파대로 167,02-2054-8295,,,,,,,,,,,,,
풀리어트,테라타워,피자,서울특별시 송파구 송파대로 167,0508-8192-7412,,,,,,,,,,,,,
프랭크버거,테라타워,버거,서울특별시 송파구 송파대로 167,02-2054-8170,,,,,,,,,,,,,
한성칼국수,테라타워,국수/칼국수,서울특별시 송파구 송파대로 167,02-2054-8666,,,,,,,,,,,,,
행복한순정감자탕,테라타워,국/탕/찌개류,서울특별시 송파구 송파대로 167,02-2054-3622,,,,,,,,,,,,,
고향옥얼큰순대국문정역점,현대지식산업센터,국/탕/찌개류,서울특별시 송파구 법원로11길 7,02-3400-0330,,,,,,,,,,,,,
구십이,현대지식산업센터,횟집,서울특별시 송파구 법원로11길 7,02-2054-8292,,,,,,,,,,,,,
금정,현대지식산업센터,중국집,서울특별시 송파구 법원로11길 7,02-2008-1586,,,,,,,,,,,,,
대박양꼬치,현대지식산업센터,중국집,서울특별시 송파구 법원로11길 7,02-2008-1888,,,,,,,,,,,,,
덴테,현대지식산업센터,경양식,서울특별시 송파구 법원로11길 11,02-3400-0230,,,,,,,,,,,,,
돈푸,현대지식산업센터,백반/한정식,서울특별시 송파구 법원로11길 11,02-3400-0333,,,,,,,,,,,,,
미소집,현대지식산업센터,백반/한정식,서울특별시 송파구 법원로11길 11,070-4099-5979,,,,,,,,,,,,,
백채김치찌개문정,현대지식산업센터,백반/한정식,서울특별시 송파구 법원로11길 11,02-3400-0446,,,,,,,,,,,,,
부리나케,현대지식산업센터,일식 회/초밥,서울특별시 송파구 법원로11길 11,070-8888-3545,,,,,,,,,,,,,
부산밀면,현대지식산업센터,냉면/밀면,서울특별시 송파구 법원로11길 7,02-3400-0315,,,,,,,,,,,,,
비비당문정역점,현대지식산업센터,백반/한정식,서울특별시 송파구 법원로11길 7,0507-1382-1494,,,,,,,,,,,,,
상아김밥문정,현대지식산업센터,김밥/만두/분식,서울특별시 송파구 법원로11길 7,02-404-0116,,,,,,,,,,,,,
시온텐동,현대지식산업센터,일식 회/초밥,서울특별시 송파구 법원로11길 11,010-5004-0056,,,,,,,,,,,,,
아야진동태탕,현대지식산업센터,국/탕/찌개류,서울특별시 송파구 법원로11길 7,02-2008-1234,,,,,,,,,,,,,
어나더도넛,현대지식산업센터,토스트/샌드위치/샐러드,서울특별시 송파구 법원로11길 11,02-3400-0391,,,,,,,,,,,,,
오복식당진주향토음식점,현대지식산업센터,백반/한정식,서울특별시 송파구 법원로11길 11,0503-7150-7239,,,,,,,,,,,,,
오봉집,현대지식산업센터,백반/한정식,서울특별시 송파구 법원로11길 7,02-3400-0310,,,,,,,,,,,,,
위도집,현대지식산업센터,백반/한정식,서울특별시 송파구 법원로11길 7,02-3400-0129,,,,,,,,,,,,,
이가네양꼬치,현대지식산업센터,중국집,서울특별시 송파구 법원로11길 7,0507-1487-1688,,,,,,,,,,,,,
이서샐러드,현대지식산업센터,김밥/만두/분식,서울특별시 송파구 법원로11길 11,02-6223-1110,,,,,,,,,,,,,
익형주방,현대지식산업센터,베트남식 전문,서울특별시 송파구 법원로11길 7,02-2148-6668,,,,,,,,,,,,,
주보울,현대지식산업센터,경양식,서울특별시 송파구 법원로11길 11,0502-5551-9168,,,,,,,,,,,,,
죽이야기,현대지식산업센터,백반/한정식,서울특별시 송파구 법원로11길 11,02-2008-1350,,,,,,,,,,,,,
퀴즈노스문정,현대지식산업센터,피자,서울특별시 송파구 법원로11길 11,02-3400-0123,,,,,,,,,,,,,
큐슈울트라아멘,현대지식산업센터,일식 회/초밥,서울특별시 송파구 법원로11길 11,02-3400-0816,,,,,,,,,,,,,
탕화쿵푸마라탕,현대지식산업센터,마라탕/훠궈,서울특별시 송파구 법원로11길 7,02-2008-1883,,,,,,,,,,,,,
표식,현대지식산업센터,일식 회/초밥,서울특별시 송파구 법원로11길 11,0503-7150-7585,,,,,,,,,,,,,
황해도아바이순대,현대지식산업센터,국/탕/찌개류,서울특별시 송파구 법원로11길 11,02-2008-1226,,,,,,,,,,,,,
흰돌,현대지식산업센터,일식 회/초밥,서울특별시 송파구 법원로11길 11,070-8814-1004,,,,,,,,,,,,,
강남면옥,SKV1/GL메트로시티,냉면/밀면,서울특별시 송파구 법원로 128,02-400-6599,,,,,,,,,,,,,
긴자료코,SKV1/GL메트로시티,일식 카레/돈가스/덮밥,서울특별시 송파구 법원로 128,02-560-4805,,,,,,,,,,,,,
김가네문정,SKV1/GL메트로시티,김밥/만두/분식,서울특별시 송파구 법원로 128,02-560-4999,,,,,,,,,,,,,
닭국집문정,SKV1/GL메트로시티,백반/한정식,서울특별시 송파구 법원로 128,02-560-4688,,,,,,,,,,,,,
마쥬,SKV1/GL메트로시티,경양식,서울특별시 송파구 법원로 128,0502-5551-4602,,,,,,,,,,,,,
문정칼국수,SKV1/GL메트로시티,국수/칼국수,서울특별시 송파구 법원로 128,010-5261-5584,,,,,,,,,,,,,
북해도,SKV1/GL메트로시티,횟집,서울특별시 송파구 법원로 128,02-527-8322,,,,,,,,,,,,,
블리스버거,SKV1/GL메트로시티,버거,서울특별시 송파구 법원로 128,02-527-0395,,,,,,,,,,,,,
스시문정,SKV1/GL메트로시티,일식 회/초밥,서울특별시 송파구 법원로 128,02-2039-2459,,,,,,,,,,,,,
차이킹,SKV1/GL메트로시티,중국집,서울특별시 송파구 법원로 128,02-527-0800,,,,,,,,,,,,,
청류,SKV1/GL메트로시티,백반/한정식,서울특별시 송파구 법원로 128,02-430-1777,,,,,,,,,,,,,
헬키푸키,SKV1/GL메트로시티,김밥/만두/분식,서울특별시 송파구 법원로 128,02-419-0101,,,,,,,,,,,,,
호앙비엣,SKV1/GL메트로시티,경양식,서울특별시 송파구 법원로 128,02-403-8258,,,,,,,,,,,,,
미쓰달,송파테라타워2,김밥/만두/분식,서울특별시 송파구 송파대로 201,,,,,,,,,,,,,,
백반/한정식,송파테라타워2,백반/한정식,서울특별시 송파구 송파대로 201,,,,,,,,,,,,,,
사운드랩,송파테라타워2,피자,서울특별시 송파구 송파대로 201,,,,,,,,,,,,,,
선푸드앤디자인,송파테라타워2,백반/한정식,서울특별시 송파구 송파대로 201,,,,,,,,,,,,,,
세라젬웰카페,송파테라타워2,백반/한정식,서울특별시 송파구 송파대로 201,,,,,,,,,,,,,,
소량향,송파테라타워2,백반/한정식,서울특별시 송파구 송파대로 201,,,,,,,,,,,,,,
송파다이닝,송파테라타워2,경양식,서울특별시 송파구 송파대로 201,,,,,,,,,,,,,,
신세계푸드노브랜드버거문정역점,송파테라타워2,버거,서울특별시 송파구 송파대로 201,,,,,,,,,,,,,,
우마미,송파테라타워2,일식 회/초밥,서울특별시 송파구 송파대로 201,,,,,,,,,,,,,,
전주콩뿌리콩나물국밥,송파테라타워2,국/탕/찌개류,서울특별시 송파구 송파대로 201,,,,,,,,,,,,,,
춘리마라탕,송파테라타워2,마라탕/훠궈,서울특별시 송파구 송파대로 201,,,,,,,,,,,,,,
카츠단길,송파테라타워2,일식 회/초밥,서울특별시 송파구 송파대로 201,,,,,,,,,,,,,,
프로도버거,송파테라타워2,버거,서울특별시 송파구 송파대로 201,,,,,,,,,,,,,,
경양식하우스,엠스테이트,경양식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
고씨네,엠스테이트,김밥/만두/분식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
그레이바틀,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
나나양꼬치,엠스테이트,중국집,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
나무젓가락,엠스테이트,일식 회/초밥,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
녹정샤브샤브,엠스테이트,국/탕/찌개류,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
니트포,엠스테이트,베트남식 전문,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
담솥,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
덤벨푸드,엠스테이트,경양식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
동네얼간이,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
동네형아,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
동원카레,엠스테이트,일식 회/초밥,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
륜참치,엠스테이트,일식 회/초밥,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
마라탕샹츠마라문정점,엠스테이트,마라탕/훠궈,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
멸치집,엠스테이트,횟집,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
모스컴퍼니,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
무청감자탕,엠스테이트,국/탕/찌개류,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
미도인문정법조타운,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
밀숲,엠스테이트,국수/칼국수,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
봉희컴퍼니,엠스테이트,김밥/만두/분식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
삼식이감자탕,엠스테이트,국/탕/찌개류,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
서브웨이문정역점,엠스테이트,토스트/샌드위치/샐러드,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
석정,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
속초오징어어시장,엠스테이트,횟집,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
신숙이네양평해장국,엠스테이트,국/탕/찌개류,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
어부의만찬투,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
엠,엠스테이트,경양식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
여러시멘야카오리,엠스테이트,일식 회/초밥,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
염원카츠,엠스테이트,일식 카레/돈가스/덮밥,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
오꼬내꼬,엠스테이트,그 외 기타 간이 음식점,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
요우,엠스테이트,일식 회/초밥,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
우리연동우황태,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
우즈마키문정,엠스테이트,일식 회/초밥,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
원해장,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
육대장문정역엠스테이트점,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
이병태함흥냉면,엠스테이트,냉면/밀면,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
이천밥쌤,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
자연과건강,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
자연산산꼼장어,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
전철우제주해장문정,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
청킹맨션,엠스테이트,중국집,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
큰손,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
탕반,엠스테이트,일식 회/초밥,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
파네파네,엠스테이트,경양식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
한솥도시락문정엠스테이트점,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
한창회관,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
함흥면옥문정지점,엠스테이트,냉면/밀면,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
함흥본가갈비탕갈비찜,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
해남짬뽕,엠스테이트,중국집,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
홍쉐프&화덕,엠스테이트,피자,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
홍심당,엠스테이트,백반/한정식,서울특별시 송파구 법원로 114,,,,,,,,,,,,,,
갈맷길물총칼국수,테라타워,국수/칼국수,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
겐코쇼쿠도,테라타워,일식 회/초밥,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
계란집,테라타워,경양식,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
국제보리밥,테라타워,백반/한정식,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
깡우동문정역점,테라타워,일식 면 요리,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
달팽이김밥,테라타워,김밥/만두/분식,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
더케이에이치컴퍼니,테라타워,경양식,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
도삭명가,테라타워,중국집,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
류창희국수人,테라타워,국수/칼국수,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
마라공방문정테라,테라타워,마라탕/훠궈,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
만날,테라타워,백반/한정식,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
본죽&비빔밥문정법조단지점,테라타워,백반/한정식,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
부산아지매국밥&구포갈비문정테라,테라타워,국/탕/찌개류,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
삼산회관문정테라,테라타워,국/탕/찌개류,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
소풍가는날문정법조단지점,테라타워,김밥/만두/분식,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
소호면가,테라타워,국수/칼국수,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
스위치,테라타워,피자,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
압구정샌드위치,테라타워,토스트/샌드위치/샐러드,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
엄마밥상,테라타워,백반/한정식,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
업소명없음,테라타워,피자,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
에스씨브이에프앤비,테라타워,백반/한정식,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
유미카츠,테라타워,일식 카레/돈가스/덮밥,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
장수본가해장국,테라타워,국/탕/찌개류,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
조조감자탕,테라타워,국/탕/찌개류,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
최현옥임대,테라타워,백반/한정식,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
테라참치,테라타워,일식 회/초밥,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
테이스터스바스버거문정역점,테라타워,버거,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
하영호신촌설렁탕문정역점,테라타워,국/탕/찌개류,서울특별시 송파구 송파대로 167,,,,,,,,,,,,,,
가쯔미,현대지식산업센터,일식 회/초밥,서울특별시 송파구 법원로11길 7,,,,,,,,,,,,,,
남원추어탕,현대지식산업센터,국/탕/찌개류,서울특별시 송파구 법원로11길 11,,,,,,,,,,,,,,
다이죠부,현대지식산업센터,일식 회/초밥,서울특별시 송파구 법원로11길 7,,,,,,,,,,,,,,
돈앤칡,현대지식산업센터,경양식,서울특별시 송파구 법원로11길 11,,,,,,,,,,,,,,
레브스페셜티앤스시,현대지식산업센터,일식 회/초밥,서울특별시 송파구 법원로11길 11,,,,,,,,,,,,,,
마낀카오,현대지식산업센터,베트남식 전문,서울특별시 송파구 법원로11길 7,,,,,,,,,,,,,,
멘도,현대지식산업센터,일식 회/초밥,서울특별시 송파구 법원로11길 11,,,,,,,,,,,,,,
목삼항,현대지식산업센터,백반/한정식,서울특별시 송파구 법원로11길 7,,,,,,,,,,,,,,
문정쭈칼집,현대지식산업센터,백반/한정식,서울특별시 송파구 법원로11길 7,,,,,,,,,,,,,,
빙동댕문정역점,현대지식산업센터,김밥/만두/분식,서울특별시 송파구 법원로11길 7,,,,,,,,,,,,,,
