상호	건물	카테고리	전화번호	주소	호수(전화로확인)	혼밥가능(green=1인석있음/yellow=혼자눈치/red=1인거절)	도보(분)	최저가(원)	최고가(원)	12시웨이팅(0없음/5=5~10분/15=15분↑)	12시반웨이팅(0/5/15)	주문방식(kiosk/table_tablet/staff_call)	셀프바(true/false)	소음(1조용~2보통~3시끌)	직원말수(1무관심~2보통~3많음)	대표메뉴	메모
함흥본가면옥 문정점	엠스테이트	냉면	02-407-8807	서울 송파구 법원로 114													
보배반점 문정점	엠스테이트	보배반점	02-400-9866	서울 송파구 법원로 114													
써브웨이 문정역점	엠스테이트	써브웨이	02-3012-1259	서울 송파구 법원로 114													
강창구찹쌀진순대 문정역점	엠스테이트	순대	02-2283-1777	서울 송파구 법원로 114													
하루엔소쿠 문정법조타운점	엠스테이트	"돈까스,우동"	02-2283-1339	서울 송파구 법원로 114													
순대감찹쌀순대	엠스테이트	순대	02-2054-8581	서울 송파구 법원로 114													
불독돈까스	엠스테이트	"돈까스,우동"	02-2283-1599	서울 송파구 법원로 114													
이삭토스트 문정역점	테라타워	이삭토스트	02-2054-3634	서울 송파구 송파대로 167													
청년38국수 문정테라타워점	테라타워	국수	0507-1398-1584	서울 송파구 송파대로 167													
에그드랍 문정역점	테라타워	에그드랍	02-2054-8262	서울 송파구 송파대로 167													
무국적식당 주철	테라타워	양식	0502-5553-4501	서울 송파구 송파대로 167													
앤썹스	테라타워	패스트푸드	02-2054-8515	서울 송파구 송파대로 167													
본죽&비빔밥cafe 문정법조단지점	테라타워	본죽&비빔밥cafe	02-2054-8282	서울 송파구 송파대로 167													
고메무이	테라타워	일식	02-443-7779	서울 송파구 송파대로 167													
통영항수산민족 문정점	테라타워	"해물,생선"	02-2054-3892	서울 송파구 송파대로 167													
한성칼국수	테라타워	칼국수	02-2054-8666	서울 송파구 송파대로 167													
산척동수제비 문정3호점	테라타워	수제비	02-2054-3305	서울 송파구 송파대로 167													
밥샵	테라타워	한식	02-2054-8934	서울 송파구 송파대로 167													
덮밥장사장 문정점	테라타워	덮밥장사장	02-2054-3373	서울 송파구 송파대로 167													
오부찌	테라타워	"찌개,전골"	02-2054-8597	서울 송파구 송파대로 167													
얌샐러드	테라타워	샐러드	010-5557-4773	서울 송파구 송파대로 167													
풀리어트	테라타워	샐러드	0508-8192-7412	서울 송파구 송파대로 167													
돈앤더머	테라타워	"돈까스,우동"	070-440-0543	서울 송파구 송파대로 167													
미르네 나주가	테라타워	한식	02-409-9194	서울 송파구 송파대로 167													
한우스지맑은곰탕	테라타워	곰탕	02-401-1481	서울 송파구 송파대로 167													
스시현	테라타워	"초밥,롤"	02-2054-3317	서울 송파구 송파대로 167													
올라포케 문정본점	테라타워	올라포케	02-2054-8530	서울 송파구 송파대로 167													
소소반167	테라타워	한식	02-2054-3833	서울 송파구 송파대로 167													
테라한식뷔페	테라타워	한식뷔페	02-2054-3645	서울 송파구 송파대로 167													
남산수재돈까스	테라타워	"돈까스,우동"	02-2054-3750	서울 송파구 송파대로 167													
담원	테라타워	한식	02-2054-8599	서울 송파구 송파대로 167													
잇쇼니라멘 문정본점	테라타워	일본식라면	02-2283-1239	서울 송파구 법원로 114													
KFC 문정역점	테라타워	KFC	02-408-0509	서울 송파구 송파대로 167													
미식호랑이	테라타워	일본식라면	02-2283-1709	서울 송파구 법원로 114													
아레나샤브 테라타워점	테라타워	샤브샤브	02-430-1304	서울 송파구 송파대로 167													
산꼼장어 닭발쭈꾸미 문정역점	테라타워	"해물,생선"	02-6177-9294	서울 송파구 법원로 114													
월미당 문정점	테라타워	베트남음식	02-2054-3999	서울 송파구 송파대로 167													
포온스수제버거	테라타워	햄버거	02-2054-8295	서울 송파구 송파대로 167													
이풀리 문정역점	테라타워	한식	0503-7151-4297	서울 송파구 송파대로 167													
맘스터치 문정역점	테라타워	맘스터치	02-448-1318	서울 송파구 송파대로 167													
마라공방 문정점	테라타워	중국요리	02-2054-8685	서울 송파구 송파대로 167													
신기소 문정역점	테라타워	신기소	02-2054-3991	서울 송파구 송파대로 167													
제주은희네해장국 문정테라타워점	테라타워	제주은희네해장국	02-2054-3331	서울 송파구 송파대로 167													
양산도 문정점	테라타워	일식	02-2054-8692	서울 송파구 송파대로 167													
광명횟집	테라타워	회	02-2054-8648	서울 송파구 송파대로 167													
더부엌 문정역테라타워점	테라타워	양식	02-2054-8686	서울 송파구 송파대로 167													
구십이	테라타워	"해물,생선"	02-2054-8292	서울 송파구 송파대로 167													
부산아지매국밥 문정테라타워점	테라타워	국밥	02-2054-8933	서울 송파구 송파대로 167													
큰집닭강정 문정점	테라타워	닭강정	02-2283-1555	서울 송파구 법원로 114													
야키니쿠 히오리	테라타워	일식	010-3350-2836	서울 송파구 송파대로 167													
라스트춘선 문정점	테라타워	한식	0503-7151-3689	서울 송파구 법원로 114													
탕화쿵푸마라탕 문정동점	현대지식산업센터	탕화쿵푸마라탕	02-2008-1883	서울 송파구 법원로11길 7													
금정	현대지식산업센터	중국요리	02-2008-1586	서울 송파구 법원로11길 7													
해룡마을국수집 송파문정점	현대지식산업센터	국수	02-6012-4549	서울 송파구 법원로11길 7													
동양솥밥 문정역점	현대지식산업센터	한식	02-6672-7778	서울 송파구 법원로11길 7													
부산밀면	현대지식산업센터	국수	02-3400-0315	서울 송파구 법원로11길 7													
비비당 문정역점	현대지식산업센터	한식	0507-1382-1494	서울 송파구 법원로11길 7													
아야진동태탕	현대지식산업센터	"해물,생선"	02-2008-1234	서울 송파구 법원로11길 7													
황해도아바이순대	현대지식산업센터	순대	02-2008-1226	서울 송파구 법원로11길 7													
오봉집 문정점	현대지식산업센터	오봉집	02-3400-0310	서울 송파구 법원로11길 7													
고향옥얼큰순대국 문정역점	현대지식산업센터	국밥	02-3400-0330	서울 송파구 법원로11길 7													
란짠타부리	현대지식산업센터	태국음식	02-6326-3040	서울 송파구 법원로11길 11													
퀴즈노스 문정법조타운점	현대지식산업센터	퀴즈노스	02-3400-0123	서울 송파구 법원로11길 11													
부리나케	현대지식산업센터	"돈까스,우동"	070-8888-3545	서울 송파구 법원로11길 11													
덴테	현대지식산업센터	이탈리안	02-3400-0230	서울 송파구 법원로11길 11													
길동우동 문정법조타운점	현대지식산업센터	"돈까스,우동"	02-2084-3777	서울 송파구 법원로 127													
스시문정	SKV1/GL메트로시티	"초밥,롤"	02-2039-2459	서울 송파구 법원로 128													
블리스버거 문정점	SKV1/GL메트로시티	햄버거	02-527-0395	서울 송파구 법원로 128													
김가네 문정메트로시티점	SKV1/GL메트로시티	김가네	02-560-4999	서울 송파구 법원로 128													
문정칼국수	SKV1/GL메트로시티	칼국수	010-5261-5584	서울 송파구 법원로 128													
긴자료코 문정점	SKV1/GL메트로시티	긴자료코	02-560-4805	서울 송파구 법원로 128													
로와테이블	SKV1/GL메트로시티	이탈리안	02-527-8399	서울 송파구 법원로 128													
청류	SKV1/GL메트로시티	냉면	02-430-1777	서울 송파구 법원로 128													
틈새라면 송파법조단지점	SKV1/GL메트로시티	틈새라면	02-560-4787	서울 송파구 법원로 128													
헬키푸키 문정점	SKV1/GL메트로시티	헬키푸키	02-419-0101	서울 송파구 법원로 128													
호앙비엣 문정점	SKV1/GL메트로시티	베트남음식	02-403-8258	서울 송파구 법원로 128													
갓덴익스프레스 문정점	SKV1/GL메트로시티	"초밥,롤"	02-527-0276	서울 송파구 법원로 128													
정석식당&카페테리아	SKV1/GL메트로시티	구내식당	02-560-4900	서울 송파구 법원로 128													
육회바른연어 문정점	SKV1/GL메트로시티	육회바른연어	02-560-4677	서울 송파구 법원로 128													
늘솜한식	SKV1/GL메트로시티	한식뷔페	02-881-5196	서울 송파구 송파대로 201													
코리아부대찌개 본점	SKV1/GL메트로시티	"찌개,전골"	02-6956-6332	서울 송파구 송파대로 201													
키친바이김말자 문정역점	SKV1/GL메트로시티	분식	02-2123-9050	서울 송파구 법원로 114													
춘리마라탕 문정점	송파테라타워2	중국요리		서울 송파구 송파대로 201													
우마미	송파테라타워2	일식		서울 송파구 송파대로 201													
뼈우림 감자탕 문정본점	송파테라타워2	감자탕		서울 송파구 법원로 127													
한창회관	엠스테이트	한식		서울 송파구 법원로 114													
밀숲 문정점	엠스테이트	칼국수		서울 송파구 법원로 114													
마케집 문정점	엠스테이트	마케집		서울 송파구 법원로 114													
담솥 문정점	엠스테이트	한식		서울 송파구 법원로 114													
원해장	엠스테이트	해장국		서울 송파구 법원로 114													
육대장 문정역엠스테이트점	엠스테이트	육대장		서울 송파구 법원로 114													
계란집	테라타워	양식		서울 송파구 송파대로 167													
한양중식 문정점	테라타워	중국요리		서울 송파구 송파대로 167													
국제보리밥	테라타워	한식		서울 송파구 송파대로 167													
하늘한정식뷔페	테라타워	한식뷔페		서울 송파구 송파대로 167													
소호면가 문정점	테라타워	칼국수		서울 송파구 송파대로 167													
깡우동 문정역점	테라타워	깡우동		서울 송파구 송파대로 167													
풍년감자탕 문정점	테라타워	감자탕		서울 송파구 송파대로 167													
압구정샌드위치 문정점	테라타워	압구정샌드위치		서울 송파구 송파대로 167													
아토키토 송파문정점	현대지식산업센터	샐러드		서울 송파구 법원로11길 7													
샐러딧 문정본점	현대지식산업센터	샐러드		서울 송파구 법원로11길 7													
마낀카오	현대지식산업센터	아시아음식		서울 송파구 법원로11길 7													
유혜인김밥 법조타운본점	현대지식산업센터	분식		서울 송파구 법원로11길 7													
바른참치	현대지식산업센터	참치회		서울 송파구 법원로11길 7													
가쯔미 본점	현대지식산업센터	"돈까스,우동"		서울 송파구 법원로11길 7													
식물원김밥 문정점	현대지식산업센터	분식		서울 송파구 법원로11길 7													
문정쭈칼집	현대지식산업센터	"해물,생선"		서울 송파구 법원로11길 7													
양이야기	현대지식산업센터	중식		서울 송파구 법원로11길 11													
더돈부리	SKV1/GL메트로시티	일식		서울 송파구 법원로 128													
아들내미분식 송파직영점	SKV1/GL메트로시티	분식		서울 송파구 법원로 128													
한줌노리	SKV1/GL메트로시티	한식		서울 송파구 법원로 128													
해남짬뽕	SKV1/GL메트로시티	중국요리		서울 송파구 법원로 128													
그린포유 문정점	SKV1/GL메트로시티	샐러드		서울 송파구 법원로 128													
타이완벤땅 문정점	SKV1/GL메트로시티	아시아음식		서울 송파구 법원로 128													
보물섬면옥	SKV1/GL메트로시티	냉면		서울 송파구 송파대로 201													
