name,area,floor,ho,category,phone,address,dist_m,solo_status,solo_note,walk_min,price_min,price_max,wait_1200,wait_1230,order_type,self_bar,noise_level,staff_talk,signature
문정칼국수,SKV1/GL메트로시티,1층,전화확인,칼국수,010-5261-5584,서울 송파구 법원로 128,8,,,,,,,,,,,,
아들내미분식 송파직영점,SKV1/GL메트로시티,1층,전화확인,분식,,서울 송파구 법원로 128,9,,,,,,,,,,,,
긴자료코 문정점,SKV1/GL메트로시티,1층,전화확인,긴자료코,02-560-4805,서울 송파구 법원로 128,9,,,,,,,,,,,,
한줌노리,SKV1/GL메트로시티,,전화확인,한식,,서울 송파구 법원로 128,9,,,,,,,,,,,,
로와테이블,SKV1/GL메트로시티,,전화확인,이탈리안,02-527-8399,서울 송파구 법원로 128,10,,,,,,,,,,,,
청류,SKV1/GL메트로시티,2층,전화확인,냉면,02-430-1777,서울 송파구 법원로 128,28,,,,,,,,,,,,
틈새라면 송파법조단지점,SKV1/GL메트로시티,,전화확인,틈새라면,02-560-4787,서울 송파구 법원로 128,32,,,,,,,,,,,,
헬키푸키 문정점,SKV1/GL메트로시티,1층,전화확인,헬키푸키,02-419-0101,서울 송파구 법원로 128,37,,,,,,,,,,,,
호앙비엣 문정점,SKV1/GL메트로시티,1층,전화확인,베트남음식,02-403-8258,서울 송파구 법원로 128,37,,,,,,,,,,,,
갓덴익스프레스 문정점,SKV1/GL메트로시티,,전화확인,"초밥,롤",02-527-0276,서울 송파구 법원로 128,38,,,,,,,,,,,,
해남짬뽕,SKV1/GL메트로시티,1층,전화확인,중국요리,,서울 송파구 법원로 128,71,,,,,,,,,,,,
정석식당&카페테리아,SKV1/GL메트로시티,,전화확인,구내식당,02-560-4900,서울 송파구 법원로 128,71,,,,,,,,,,,,
육회바른연어 문정점,SKV1/GL메트로시티,1층,전화확인,육회바른연어,02-560-4677,서울 송파구 법원로 128,72,,,,,,,,,,,,
그린포유 문정점,SKV1/GL메트로시티,1층,전화확인,샐러드,,서울 송파구 법원로 128,80,,,,,,,,,,,,
타이완벤땅 문정점,SKV1/GL메트로시티,1층,전화확인,아시아음식,,서울 송파구 법원로 128,82,,,,,,,,,,,,
늘솜한식,SKV1/GL메트로시티,1층,전화확인,한식뷔페,02-881-5196,서울 송파구 송파대로 201,95,,,,,,,,,,,,
코리아부대찌개 본점,SKV1/GL메트로시티,,전화확인,"찌개,전골",02-6956-6332,서울 송파구 송파대로 201,96,,,,,,,,,,,,
보물섬면옥,SKV1/GL메트로시티,,전화확인,냉면,,서울 송파구 송파대로 201,96,,,,,,,,,,,,
키친바이김말자 문정역점,SKV1/GL메트로시티,,전화확인,분식,02-2123-9050,서울 송파구 법원로 114,106,,,,,,,,,,,,
